field	review_value	review_period	review_period_context
evidence_question	How should a conflicting source be handled before the disposition is recorded?	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
source_fact	response coordinator retained timeline evidence for p03-src-002548	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
evidence_instrument	policy-to-practice comparison	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
review_observation	the record explained the relationship between policy and practice	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
challenge_performed	an unsupported completion status was tested for underlying proof	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
review_profile	the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
counterexample	A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
decision_rule	Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This siem export event category evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
