"field","review_value"
"evidence_question","What decision can be made from the retained source material without external access?"
"source_fact","response coordinator retained timeline evidence for p03-src-004252"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","change-impact assessment"
"review_observation","the disposition stated both confidence and residual uncertainty"
"challenge_performed","a missing custodian was treated as a review failure"
"review_profile","the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule","Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
