synthetic_id,condition,baseline_au,treated_normalized_response,delta
OCW-B16-001,Vehicle,1.0,0.98,-0.02
OCW-B16-002,Vehicle,1.0,1.03,0.03
OCW-B16-003,Vehicle,1.0,1.01,0.01
OCW-B16-004,Vehicle,1.0,1.07,0.07
OCW-B16-005,Vehicle,1.0,1.1,0.1
OCW-B16-006,Vehicle,1.0,1.12,0.12
OCW-B16-007,Vehicle,1.0,1.15,0.15
OCW-B16-008,Vehicle,1.0,1.17,0.17
OCW-B16-009,Treated,1.0,1.18,0.18
OCW-B16-010,Treated,1.0,1.19,0.19
OCW-B16-011,Treated,1.0,1.2,0.2
OCW-B16-012,Treated,1.0,1.18,0.18
OCW-B16-013,Treated,1.0,1.22,0.22
OCW-B16-014,Treated,1.0,1.17,0.17
OCW-B16-015,Treated,1.0,1.21,0.21
OCW-B16-016,Treated,1.0,1.19,0.19
