field,review_value,review_period,review_period_context
evidence_question,Which responsibility boundary must be visible before the record is approved?,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
source_fact,system steward retained review register for p03-src-009725,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
evidence_instrument,evidence freshness check,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
challenge_performed,a stale approval was compared with the current ownership assignment,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
review_profile,the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This closed record retention index evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
