"field","review_value"
"evidence_question","How should a conflicting source be handled before the disposition is recorded?"
"source_fact","system steward retained review register for p03-src-005606"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","approval trail summary"
"review_observation","the evidence set included a challenge from outside the delivery team"
"challenge_performed","a generic assurance phrase was rejected pending source facts"
"review_profile","the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A complete-looking register is not reliable if the decision rule and disposition are absent."
"decision_rule","Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-13"
