synthetic_sample_id,flag_code,severity,resolution
OCW-A24-001,QC-OK,none,synthetic record accepted
OCW-A24-002,QC-OK,none,synthetic record accepted
OCW-A24-003,QC-OK,none,synthetic record accepted
OCW-A24-004,QC-OK,none,synthetic record accepted
OCW-A24-005,QC-OK,none,synthetic record accepted
OCW-A24-006,QC-OK,none,synthetic record accepted
OCW-A24-007,QC-OK,none,synthetic record accepted
OCW-A24-008,QC-OK,none,synthetic record accepted
OCW-A24-009,QC-OK,none,synthetic record accepted
OCW-A24-010,QC-OK,none,synthetic record accepted
OCW-A24-011,QC-OK,none,synthetic record accepted
OCW-A24-012,QC-OK,none,synthetic record accepted
OCW-A24-013,QC-OK,none,synthetic record accepted
OCW-A24-014,QC-OK,none,synthetic record accepted
OCW-A24-015,QC-OK,none,synthetic record accepted
OCW-A24-016,QC-OK,none,synthetic record accepted
OCW-A24-017,QC-OK,none,synthetic record accepted
OCW-A24-018,QC-OK,none,synthetic record accepted
OCW-A24-019,QC-OK,none,synthetic record accepted
OCW-A24-020,QC-OK,none,synthetic record accepted
OCW-A24-021,QC-OK,none,synthetic record accepted
OCW-A24-022,QC-OK,none,synthetic record accepted
OCW-A24-023,QC-OK,none,synthetic record accepted
OCW-A24-024,QC-OK,none,synthetic record accepted
