metric	value	unit	evidence_reference
review_population	48	synthetic privileged-role records	EV-184-01
timely_attestation	97.9%	47 of 48	EXC-260713-006
final_completion	100.0%	48 of 48	ACT-260713-011
evidence_completeness	24 of 24	required synthetic items	EV-184-19
residual_risk	Medium	rating	RISK-031
artifact_source	p03-src-003520	data-use	2026-07-15
analytical_conclusion	Record 3520 concludes that data-use requires a bounded AC-27 evidence review for 2026-07-15; RISK-031 remains Medium after the compensating review, with no personal records in scope.	bounded review conclusion	org.cobalt-harbor, risk.risk-031, rel.privacy.vendor, date.2026-07-15, term.no-kio-claim
positive_spine_traceability	org.cobalt-harbor = Cobalt Harbor Systems	raw spine ID and canonical value	p03-src-003520
positive_spine_traceability	risk.risk-031 = incomplete quarterly privileged-access review evidence; inherent High and residual Medium after bounded remediation	raw spine ID and canonical value	p03-src-003520
positive_spine_traceability	date.2026-07-15 = control owner validates the remediation plan and retention disposition	raw spine ID and canonical value	p03-src-003520
