well,synthetic_sample_id,role,plate_id
A1,OCW-A24-001,sample,ALPHA-A24-P01
A2,OCW-A24-002,sample,ALPHA-A24-P01
A3,OCW-A24-003,sample,ALPHA-A24-P01
A4,OCW-A24-004,sample,ALPHA-A24-P01
A5,OCW-A24-005,sample,ALPHA-A24-P01
A6,OCW-A24-006,sample,ALPHA-A24-P01
B1,OCW-A24-007,sample,ALPHA-A24-P01
B2,OCW-A24-008,sample,ALPHA-A24-P01
B3,OCW-A24-009,sample,ALPHA-A24-P01
B4,OCW-A24-010,sample,ALPHA-A24-P01
B5,OCW-A24-011,sample,ALPHA-A24-P01
B6,OCW-A24-012,sample,ALPHA-A24-P01
C1,OCW-A24-013,sample,ALPHA-A24-P01
C2,OCW-A24-014,sample,ALPHA-A24-P01
C3,OCW-A24-015,sample,ALPHA-A24-P01
C4,OCW-A24-016,sample,ALPHA-A24-P01
C5,OCW-A24-017,sample,ALPHA-A24-P01
C6,OCW-A24-018,sample,ALPHA-A24-P01
D1,OCW-A24-019,sample,ALPHA-A24-P01
D2,OCW-A24-020,sample,ALPHA-A24-P01
D3,OCW-A24-021,sample,ALPHA-A24-P01
D4,OCW-A24-022,sample,ALPHA-A24-P01
D5,OCW-A24-023,sample,ALPHA-A24-P01
D6,OCW-A24-024,sample,ALPHA-A24-P01
