field	review_value	review_period	review_period_context
evidence_question	What observable evidence demonstrates that the stated control objective is met?	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
source_fact	service owner retained contract evidence for p03-src-003848	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
evidence_instrument	quality review annotation	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
review_observation	the evidence sequence exposed a material dependency	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
challenge_performed	a missing date was treated as a traceability concern	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
review_profile	the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
counterexample	A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
decision_rule	Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
disposition	escalated for corroboration with the decision basis retained	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This working notes evidence triage evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer accepted the retained basis.
