field,review_value,review_period,review_period_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
source_fact,risk owner retained decision record for p03-src-002379,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
evidence_instrument,control narrative comparison,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
challenge_performed,a stale approval was compared with the current ownership assignment,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This vendor risk risk followup evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer identified a corroboration need.
