field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
source_fact,service owner retained contract evidence for p03-src-007765,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
evidence_instrument,recertification record,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
review_observation,the evidence owner confirmed the record's completeness,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
challenge_performed,an exception rationale was tested for a documented decision rule,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
review_profile,the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy retention evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer documented an ownership check.
