participant_id,segment,task_completed,task_confidence_1_5,confidence_band
S01,Novice,1,4,High
S02,Novice,1,3,Moderate
S03,Novice,1,4,High
S04,Novice,0,2,Low
S05,Novice,1,3,Moderate
S06,Novice,1,4,High
S07,Novice,1,3,Moderate
S08,Novice,1,4,High
S09,Occasional,1,4,High
S10,Occasional,1,5,High
S11,Occasional,1,4,High
S12,Occasional,1,3,Moderate
S13,Occasional,1,4,High
S14,Occasional,1,5,High
S15,Occasional,1,4,High
S16,Occasional,0,2,Low
S17,Frequent,1,5,High
S18,Frequent,1,4,High
S19,Frequent,1,5,High
S20,Frequent,1,4,High
S21,Frequent,1,5,High
S22,Frequent,1,4,High
S23,Frequent,1,3,Moderate
S24,Frequent,1,5,High
