field	review_value	review_period	review_period_context
evidence_question	What minimal trace proves that the control remains attributable to its owner?	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
source_fact	service owner retained contract evidence for p03-src-004549	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
evidence_instrument	policy-to-practice comparison	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_observation	the evidence owner confirmed the record's completeness	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
challenge_performed	a duplicated statement was not accepted as independent corroboration	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_profile	the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
counterexample	A repeated control statement does not establish operation when no counterexample was considered.	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
decision_rule	Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This threat model control boundary evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer retained a challenge response.
