"field"	"review_value"
"evidence_question"	"How should a conflicting source be handled before the disposition is recorded?"
"source_fact"	"detection owner retained coverage record for p03-src-003749"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control test worksheet"
"review_observation"	"the local conclusion did not depend on a portal or live endpoint"
"challenge_performed"	"a claimed control was tested against a negative sample"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer."
"decision_rule"	"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
