synthetic_sample_id,well,replicate,signal_au,unit
OCW-B16-001,B01,r1,1.146,AU
OCW-B16-001,B01,r2,1.166,AU
OCW-B16-002,B02,r1,1.17,AU
OCW-B16-002,B02,r2,1.19,AU
OCW-B16-003,B03,r1,1.194,AU
OCW-B16-003,B03,r2,1.214,AU
OCW-B16-004,B04,r1,1.217,AU
OCW-B16-004,B04,r2,1.237,AU
OCW-B16-005,B05,r1,1.123,AU
OCW-B16-005,B05,r2,1.143,AU
OCW-B16-006,B06,r1,1.146,AU
OCW-B16-006,B06,r2,1.166,AU
OCW-B16-007,B07,r1,1.17,AU
OCW-B16-007,B07,r2,1.19,AU
OCW-B16-008,B08,r1,1.194,AU
OCW-B16-008,B08,r2,1.214,AU
OCW-B16-009,B09,r1,1.217,AU
OCW-B16-009,B09,r2,1.237,AU
OCW-B16-010,B10,r1,1.123,AU
OCW-B16-010,B10,r2,1.143,AU
OCW-B16-011,B11,r1,1.146,AU
OCW-B16-011,B11,r2,1.166,AU
OCW-B16-012,B12,r1,1.17,AU
OCW-B16-012,B12,r2,1.19,AU
OCW-B16-013,B13,r1,1.194,AU
OCW-B16-013,B13,r2,1.214,AU
OCW-B16-014,B14,r1,1.217,AU
OCW-B16-014,B14,r2,1.237,AU
OCW-B16-015,B15,r1,1.123,AU
OCW-B16-015,B15,r2,1.143,AU
OCW-B16-016,B16,r1,1.146,AU
OCW-B16-016,B16,r2,1.166,AU
