"field"	"review_value"
"evidence_question"	"What minimal trace proves that the control remains attributable to its owner?"
"source_fact"	"detection owner retained coverage record for p03-src-004286"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"exception decision sheet"
"review_observation"	"the local conclusion did not depend on a portal or live endpoint"
"challenge_performed"	"a duplicated statement was not accepted as independent corroboration"
"review_profile"	"the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A repeated control statement does not establish operation when no counterexample was considered."
"decision_rule"	"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-15"
