field,review_value,review_period,review_period_context
evidence_question,How does the review distinguish complete evidence from an unsupported assertion?,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
source_fact,response coordinator retained timeline evidence for p03-src-003496,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
evidence_instrument,data-classification note,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
review_observation,the source record separated assertion from corroboration,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
challenge_performed,a review result was compared with a counterexample,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
decision_rule,Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This personal grc attestation status evidence metrics record was assessed using control boundary and operating ownership; the reviewer recorded a bounded exception.
