initiative_id,initiative_name,workstream,owner,status,start_date,target_date,dependency_ids,deliverable_type,budget_jpy_m,program,client,phase,kickoff_date
SVA-FA-001,Baseline close assessment,Finance operating model,Avery Calder,Complete,2026-07-13,2026-07-17,,Assessment memo,1200000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-002,Data source inventory,Finance data,Nina Solberg,Complete,2026-07-13,2026-07-20,SVA-FA-001,Data inventory,950000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-003,Stakeholder map and cadence,Program mobilization,Theo Mercer,Complete,2026-07-13,2026-07-17,,Stakeholder map,700000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-004,Value tree workshop,Value architecture,Keiko Ward,Complete,2026-07-16,2026-07-21,SVA-FA-001;SVA-FA-003,Workshop board,1100000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-005,Close pain-point interviews,Finance operating model,Avery Calder,Complete,2026-07-17,2026-07-24,SVA-FA-001,Interview synthesis,900000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-006,Revenue quality hypothesis,Revenue quality,Nina Solberg,Complete,2026-07-21,2026-07-28,SVA-FA-004,Opportunity brief,1050000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-007,Cost baseline segmentation,Cost discipline,Theo Mercer,Complete,2026-07-21,2026-07-29,SVA-FA-002;SVA-FA-004,Cost baseline,1250000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-008,Cash forecast diagnostic,Cash confidence,Keiko Ward,Complete,2026-07-22,2026-07-30,SVA-FA-002;SVA-FA-004,Diagnostic pack,1150000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-009,Target operating model principles,Finance operating model,Avery Calder,In progress,2026-07-27,2026-08-07,SVA-FA-005,Design principles,1900000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-010,Management reporting prototype,Finance data,Nina Solberg,In progress,2026-07-27,2026-08-10,SVA-FA-002;SVA-FA-006,Prototype dashboard,2050000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-011,Procure-to-pay opportunity scan,Cost discipline,Theo Mercer,In progress,2026-07-30,2026-08-12,SVA-FA-007,Opportunity scan,1800000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-012,Working capital levers,Cash confidence,Keiko Ward,In progress,2026-07-30,2026-08-12,SVA-FA-008,Lever catalogue,1800000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-013,Initiative scoring criteria,Value architecture,Avery Calder,In progress,2026-08-03,2026-08-10,SVA-FA-006;SVA-FA-007;SVA-FA-008,Scoring rubric,750000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-014,Finance data quality rules,Finance data,Nina Solberg,In progress,2026-08-03,2026-08-14,SVA-FA-002;SVA-FA-010,Rulebook,1100000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-015,Design review forum,Program mobilization,Theo Mercer,Planned,2026-08-07,2026-08-07,SVA-FA-009;SVA-FA-010;SVA-FA-011;SVA-FA-012,Review meeting,400000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-016,Close calendar redesign,Finance operating model,Avery Calder,Planned,2026-08-10,2026-08-21,SVA-FA-009,Process design,1750000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-017,Revenue leakage test plan,Revenue quality,Nina Solberg,Planned,2026-08-10,2026-08-21,SVA-FA-006;SVA-FA-013,Test plan,950000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-018,Vendor spend rationalization,Cost discipline,Theo Mercer,Planned,2026-08-12,2026-08-24,SVA-FA-011;SVA-FA-013,Initiative charter,1950000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-019,Collections workflow design,Cash confidence,Keiko Ward,Planned,2026-08-12,2026-08-24,SVA-FA-012;SVA-FA-013,Workflow design,1650000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-020,Control catalog refresh,Finance operating model,Avery Calder,Planned,2026-08-17,2026-08-28,SVA-FA-009;SVA-FA-014,Control catalogue,1100000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-021,Data governance handoff,Finance data,Nina Solberg,Planned,2026-08-17,2026-08-28,SVA-FA-014,Governance pack,900000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-022,Change impact assessment,Program mobilization,Theo Mercer,Planned,2026-08-17,2026-08-28,SVA-FA-015;SVA-FA-016;SVA-FA-018;SVA-FA-019,Impact assessment,850000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-023,Forecast cadence pilot,Cash confidence,Keiko Ward,Planned,2026-08-24,2026-09-04,SVA-FA-019;SVA-FA-021,Pilot playbook,1750000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-024,Executive KPI set,Revenue quality,Avery Calder,Planned,2026-08-24,2026-09-04,SVA-FA-010;SVA-FA-017,KPI specification,1000000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-025,Month-end pilot readiness,Finance operating model,Nina Solberg,Planned,2026-08-31,2026-09-11,SVA-FA-016;SVA-FA-020;SVA-FA-021,Readiness checklist,1000000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-026,Spend controls pilot,Cost discipline,Theo Mercer,Planned,2026-08-31,2026-09-11,SVA-FA-018;SVA-FA-020,Pilot charter,1200000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-027,Collections pilot,Cash confidence,Keiko Ward,Planned,2026-09-04,2026-09-18,SVA-FA-019;SVA-FA-023,Pilot results,1250000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-028,Finance performance dashboard,Finance data,Avery Calder,Planned,2026-09-07,2026-09-18,SVA-FA-010;SVA-FA-024,Dashboard release,2000000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-029,Training needs analysis,Program mobilization,Nina Solberg,Planned,2026-09-07,2026-09-18,SVA-FA-022,Training plan,700000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-030,Pilot outcome review,Value architecture,Theo Mercer,Planned,2026-09-14,2026-09-22,SVA-FA-025;SVA-FA-026;SVA-FA-027,Outcome review,800000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-031,Scaling roadmap,Value architecture,Keiko Ward,Planned,2026-09-21,2026-10-02,SVA-FA-030,Scaling roadmap,1100000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-032,Operating model handover,Finance operating model,Avery Calder,Planned,2026-09-21,2026-10-02,SVA-FA-025;SVA-FA-029,Handover pack,950000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-033,Benefits tracking model,Finance data,Nina Solberg,Planned,2026-09-21,2026-10-02,SVA-FA-028;SVA-FA-030,Benefits model,1150000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-034,Change champion activation,Program mobilization,Theo Mercer,Planned,2026-09-21,2026-10-02,SVA-FA-029,Activation kit,850000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-035,Steering committee decision pack,Program mobilization,Keiko Ward,Planned,2026-10-05,2026-10-09,SVA-FA-031;SVA-FA-032;SVA-FA-033;SVA-FA-034,Decision pack,900000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
SVA-FA-036,Phase 1 closure report,Value architecture,Avery Calder,Planned,2026-10-09,2026-10-16,SVA-FA-035,Closure report,900000,Summit Vale Advisory,Client Alpha,Phase 1 Finance,2026-07-13
