field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
source_fact,risk owner retained decision record for p03-src-009936,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
evidence_instrument,control test worksheet,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
review_observation,the review preserved a clear separation of duties,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
challenge_performed,a handoff record was assessed for continuity of evidence custody,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
counterexample,"A generic assurance claim is rejected when it cannot be traced to an owner, date, and retained evidence.",2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy access governance evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer accepted the retained basis.
