participant_id,segment,platform,task_completed,task_confidence_1_5,overall_ease_1_5,findability_1_5,clarity_1_5,trust_1_5,trust_missing,scale_item_mean,open_text_code,sentiment
S01,Novice,macOS,1,4,4,3,4,4,0,3.750,navigation_label,Neutral
S02,Novice,Windows,1,3,3,3,4,3,0,3.250,navigation_placement,Negative
S03,Novice,macOS,1,4,4,4,4,4,0,4.000,progress_feedback,Positive
S04,Novice,Windows,0,2,2,2,3,3,0,2.500,save_action,Negative
S05,Novice,macOS,1,3,3,2,3,3,0,2.750,filter_discoverability,Negative
S06,Novice,iPadOS,1,4,4,3,4,4,0,3.750,instruction_alignment,Positive
S07,Novice,Windows,1,3,3,3,3,3,0,3.000,information_architecture,Negative
S08,Novice,macOS,1,4,4,4,4,,1,4.000,completion_confirmation,Positive
S09,Occasional,macOS,1,4,4,4,4,4,0,4.000,orientation_summary,Suggestion
S10,Occasional,Windows,1,5,5,4,5,4,0,4.500,navigation_predictability,Positive
S11,Occasional,macOS,1,4,4,3,4,4,0,3.750,option_description,Negative
S12,Occasional,iPadOS,1,3,3,3,4,3,0,3.250,content_density,Negative
S13,Occasional,macOS,1,4,4,4,4,4,0,4.000,familiar_labels,Positive
S14,Occasional,Windows,1,5,4,5,5,5,0,4.750,visual_hierarchy,Positive
S15,Occasional,macOS,1,4,4,4,4,4,0,4.000,session_context,Suggestion
S16,Occasional,Windows,0,2,2,2,3,3,0,2.500,timing_of_warning,Negative
S17,Frequent,macOS,1,5,5,5,5,5,0,5.000,accessibility_feedback,Positive
S18,Frequent,Windows,1,4,4,4,5,4,0,4.250,repeat_action,Suggestion
S19,Frequent,macOS,1,5,5,5,4,5,0,4.750,workflow_predictability,Positive
S20,Frequent,iPadOS,1,4,4,4,4,4,0,4.000,orientation_feedback,Positive
S21,Frequent,macOS,1,5,5,4,5,5,0,4.750,consistency,Positive
S22,Frequent,Windows,1,4,4,5,4,4,0,4.250,quick_access,Suggestion
S23,Frequent,macOS,1,3,3,4,4,4,0,3.750,submission_confidence,Negative
S24,Frequent,Windows,1,5,5,5,5,5,0,5.000,low_effort,Positive
