"field"	"review_value"
"evidence_question"	"What observable evidence demonstrates that the stated control objective is met?"
"source_fact"	"risk owner retained decision record for p03-src-003119"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"retention schedule extract"
"review_observation"	"the source record separated assertion from corroboration"
"challenge_performed"	"a conflicting approval was escalated instead of silently merged"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A file name is not a substitute for the source facts that support the conclusion."
"decision_rule"	"Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-13"
