snapshot_date,organization,learner_id,synthetic_population
2026-09-14,Maple Learning,ML26-S001,36
2026-09-14,Maple Learning,ML26-S002,36
2026-09-14,Maple Learning,ML26-S003,36
2026-09-14,Maple Learning,ML26-S004,36
2026-09-14,Maple Learning,ML26-S005,36
2026-09-14,Maple Learning,ML26-S006,36
2026-09-14,Maple Learning,ML26-S007,36
2026-09-14,Maple Learning,ML26-S008,36
2026-09-14,Maple Learning,ML26-S009,36
2026-09-14,Maple Learning,ML26-S010,36
2026-09-14,Maple Learning,ML26-S011,36
2026-09-14,Maple Learning,ML26-S012,36
2026-09-14,Maple Learning,ML26-S013,36
2026-09-14,Maple Learning,ML26-S014,36
2026-09-14,Maple Learning,ML26-S015,36
2026-09-14,Maple Learning,ML26-S016,36
2026-09-14,Maple Learning,ML26-S017,36
2026-09-14,Maple Learning,ML26-S018,36
2026-09-14,Maple Learning,ML26-S019,36
2026-09-14,Maple Learning,ML26-S020,36
2026-09-14,Maple Learning,ML26-S021,36
2026-09-14,Maple Learning,ML26-S022,36
2026-09-14,Maple Learning,ML26-S023,36
2026-09-14,Maple Learning,ML26-S024,36
2026-09-14,Maple Learning,ML26-S025,36
2026-09-14,Maple Learning,ML26-S026,36
2026-09-14,Maple Learning,ML26-S027,36
2026-09-14,Maple Learning,ML26-S028,36
2026-09-14,Maple Learning,ML26-S029,36
2026-09-14,Maple Learning,ML26-S030,36
2026-09-14,Maple Learning,ML26-S031,36
2026-09-14,Maple Learning,ML26-S032,36
2026-09-14,Maple Learning,ML26-S033,36
2026-09-14,Maple Learning,ML26-S034,36
2026-09-14,Maple Learning,ML26-S035,36
2026-09-14,Maple Learning,ML26-S036,36
