synthetic_sample_id,study,cohort,assay_ng_mL,duplicate_cv_percent,recovery_percent,status
OCW-A24-001,Study Alpha,A-24,5.7,3.2,96.4,PASS
OCW-A24-002,Study Alpha,A-24,6.1,3.9,97.2,PASS
OCW-A24-003,Study Alpha,A-24,6.3,4.6,98.0,PASS
OCW-A24-004,Study Alpha,A-24,6.4,5.3,98.8,PASS
OCW-A24-005,Study Alpha,A-24,6.5,6.0,99.6,PASS
OCW-A24-006,Study Alpha,A-24,6.6,3.2,100.4,PASS
OCW-A24-007,Study Alpha,A-24,6.7,3.9,96.4,PASS
OCW-A24-008,Study Alpha,A-24,6.8,4.6,97.2,PASS
OCW-A24-009,Study Alpha,A-24,6.8,5.3,98.0,PASS
OCW-A24-010,Study Alpha,A-24,6.8,6.0,98.8,PASS
OCW-A24-011,Study Alpha,A-24,6.9,3.2,99.6,PASS
OCW-A24-012,Study Alpha,A-24,6.9,3.9,100.4,PASS
OCW-A24-013,Study Alpha,A-24,6.7,4.6,96.4,PASS
OCW-A24-014,Study Alpha,A-24,6.8,5.3,97.2,PASS
OCW-A24-015,Study Alpha,A-24,6.9,6.0,98.0,PASS
OCW-A24-016,Study Alpha,A-24,7.0,3.2,98.8,PASS
OCW-A24-017,Study Alpha,A-24,6.8,3.9,99.6,PASS
OCW-A24-018,Study Alpha,A-24,6.7,4.6,100.4,PASS
OCW-A24-019,Study Alpha,A-24,6.9,5.3,96.4,PASS
OCW-A24-020,Study Alpha,A-24,6.8,6.0,97.2,PASS
OCW-A24-021,Study Alpha,A-24,6.6,3.2,98.0,PASS
OCW-A24-022,Study Alpha,A-24,6.7,3.9,98.8,PASS
OCW-A24-023,Study Alpha,A-24,6.9,4.6,99.6,PASS
OCW-A24-024,Study Alpha,A-24,6.8,5.3,100.4,PASS
