field,review_value,review_period,review_period_context
evidence_question,How should a conflicting source be handled before the disposition is recorded?,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
source_fact,response coordinator retained timeline evidence for p03-src-008079,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
evidence_instrument,control narrative comparison,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
review_observation,the evidence sequence exposed a material dependency,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
challenge_performed,a local conclusion was checked for reliance on external access,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
review_profile,the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
counterexample,A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy approval separation evidence metrics record was assessed using control boundary and operating ownership; the reviewer documented an ownership check.
