business_date,region,channel,completed_order_line_value_jpy,recognized_refunds_jpy,net_gmv_jpy,definition,warehouse_refreshed_at_jst
2026-07-07,East,Stores,3400000,0,3400000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-07,West,Stores,2900000,0,2900000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-07,Central,Stores,2400000,0,2400000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-07,North,Stores,2100000,0,2100000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-08,East,Stores,3500000,0,3500000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-08,West,Stores,3000000,0,3000000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-08,Central,Stores,2500000,0,2500000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-08,North,Stores,2200000,0,2200000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-09,East,Stores,3600000,0,3600000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-09,West,Stores,3100000,0,3100000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-09,Central,Stores,2600000,0,2600000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-09,North,Stores,2200000,0,2200000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-10,East,Stores,3800000,0,3800000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-10,West,Stores,3300000,0,3300000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-10,Central,Stores,2700000,0,2700000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-10,North,Stores,2300000,0,2300000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-11,East,Stores,3900000,0,3900000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-11,West,Stores,3300000,0,3300000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-11,Central,Stores,2800000,0,2800000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-11,North,Stores,2400000,0,2400000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-12,East,Stores,4000000,0,4000000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-12,West,Stores,3500000,0,3500000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-12,Central,Stores,2900000,0,2900000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-12,North,Stores,2600000,0,2600000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-13,East,Stores,4200000,0,4200000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-13,West,Stores,3700000,0,3700000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-13,Central,Stores,2700000,0,2700000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
2026-07-13,North,Stores,2600000,0,2600000,MTR-09 completed order-line merchandise value; tax excluded; net of recognized refunds,2026-07-13 23:59 JST
