field,review_value,review_period,review_period_context
evidence_question,Which responsibility boundary must be visible before the record is approved?,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
source_fact,system steward retained review register for p03-src-007066,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
evidence_instrument,control narrative comparison,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
review_observation,the review distinguished a planned activity from completed operation,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
challenge_performed,a corrective action was tested for closure evidence,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
decision_rule,"Approve when the evidence is specific, attributable, and dated; otherwise classify the item as needing corroboration.",2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This policy exception handling evidence metrics record was assessed using source chronology and decision traceability; the reviewer preserved an escalation decision.
