synthetic_sample_id,timepoint_min,assay_ng_ml,qc_flag
OCW-A24-001,0,6.2,PASS
OCW-A24-002,5,6.4,PASS
OCW-A24-003,10,6.6,PASS
OCW-A24-004,15,6.8,PASS
OCW-A24-005,20,7.0,PASS
OCW-A24-006,25,7.2,PASS
OCW-A24-007,30,7.4,PASS
OCW-A24-008,35,6.2,PASS
OCW-A24-009,40,6.4,PASS
OCW-A24-010,45,6.6,PASS
OCW-A24-011,50,6.8,PASS
OCW-A24-012,55,7.0,PASS
OCW-A24-013,60,7.2,PASS
OCW-A24-014,65,7.4,PASS
OCW-A24-015,70,6.2,PASS
OCW-A24-016,75,6.4,PASS
OCW-A24-017,80,6.6,PASS
OCW-A24-018,85,6.8,PASS
OCW-A24-019,90,7.0,PASS
OCW-A24-020,95,7.2,PASS
OCW-A24-021,100,7.4,PASS
OCW-A24-022,105,6.2,PASS
OCW-A24-023,110,6.4,PASS
OCW-A24-024,115,6.6,PASS
