field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
source_fact,records owner retained disposition record for p03-src-003324,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
evidence_instrument,training completion record,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
review_observation,the control boundary was explained in practical terms,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
challenge_performed,an unassigned exception was tested against the escalation route,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
decision_rule,"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.",2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This export category summary evidence metrics record was assessed using evidence custody and reviewer independence; the reviewer accepted the retained basis.
