report,theme,contacts,denominator_workspaces,contact_rate_percent,severity,trend,m27_impact
"Support summary | 2026-07-13",Onboarding,62,1240,14.4,High,Rising,"M-27 guided rollout gate on 2026-09-18"
"Support summary | 2026-07-13",Permissions,45,1240,14.4,Medium,Stable,"M-27 guided rollout gate on 2026-09-18"
"Support summary | 2026-07-13",Integration,31,1240,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Support summary | 2026-07-13",Notifications,23,1240,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Support summary | 2026-07-13",Export,17,1240,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Alpha onboarding tickets",Workspace setup,31,486,14.6,High,Rising,"M-27 guided rollout gate on 2026-09-18"
"Alpha onboarding tickets",Role selection,18,486,14.6,Medium,Stable,"M-27 guided rollout gate on 2026-09-18"
"Alpha onboarding tickets",Import mapping,12,486,14.6,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Alpha onboarding tickets",Invite flow,10,486,14.6,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Beta integration tickets",Reconnect flow,24,352,17.9,High,Rising,"M-27 dependency review on 2026-08-28"
"Beta integration tickets",Sync status,17,352,17.9,Medium,Stable,"M-27 dependency review on 2026-08-28"
"Beta integration tickets",Field mapping,13,352,17.9,Low,Stable,"M-27 dependency review on 2026-08-28"
"Beta integration tickets",Rate guidance,9,352,17.9,Low,Stable,"M-27 dependency review on 2026-08-28"
"Enterprise admin friction",Role preview,20,298,19.5,High,Rising,"M-27 readiness review on 2026-09-18"
"Enterprise admin friction",SCIM mapping,16,298,19.5,Medium,Stable,"M-27 readiness review on 2026-09-18"
"Enterprise admin friction",Audit export,13,298,19.5,Low,Stable,"M-27 readiness review on 2026-09-18"
"Enterprise admin friction",Policy controls,9,298,19.5,Low,Stable,"M-27 readiness review on 2026-09-18"
"Mobile notification feedback",Duplicate alerts,15,217,18.0,High,Rising,"M-27 experience checkpoint on 2026-09-04"
"Mobile notification feedback",Quiet hours,10,217,18.0,Medium,Stable,"M-27 experience checkpoint on 2026-09-04"
"Mobile notification feedback",Delay visibility,8,217,18.0,Low,Stable,"M-27 experience checkpoint on 2026-09-04"
"Mobile notification feedback",Delivery status,6,217,18.0,Low,Stable,"M-27 experience checkpoint on 2026-09-04"
"Q3 support trends",Onboarding,62,1240,14.4,High,Rising,"M-27 guided rollout gate on 2026-09-18"
"Q3 support trends",Permissions,45,1240,14.4,Medium,Stable,"M-27 guided rollout gate on 2026-09-18"
"Q3 support trends",Integration,31,1240,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Q3 support trends",Notifications,23,1240,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Q3 support trends",Export,17,1240,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Release readiness support",Permissions,19,411,12.7,High,Rising,"M-27 release gate on 2026-09-18"
"Release readiness support",Onboarding,14,411,12.7,Medium,Stable,"M-27 release gate on 2026-09-18"
"Release readiness support",Integration,10,411,12.7,Low,Stable,"M-27 release gate on 2026-09-18"
"Release readiness support",Notifications,5,411,12.7,Low,Stable,"M-27 release gate on 2026-09-18"
"Release readiness support",Export,4,411,12.7,Low,Stable,"M-27 release gate on 2026-09-18"
"Top contact drivers",Onboarding,35,672,14.4,High,Rising,"M-27 guided rollout gate on 2026-09-18"
"Top contact drivers",Permissions,23,672,14.4,Medium,Stable,"M-27 guided rollout gate on 2026-09-18"
"Top contact drivers",Integration,17,672,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Top contact drivers",Notifications,13,672,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
"Top contact drivers",Export,9,672,14.4,Low,Stable,"M-27 guided rollout gate on 2026-09-18"
