field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
source_fact,change sponsor retained implementation record for p03-src-003808,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
evidence_instrument,evidence custody note,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
review_observation,the decision retained its escalation threshold,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
challenge_performed,a process narrative was checked for a named decision owner,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
counterexample,A complete-looking register is not reliable if the decision rule and disposition are absent.,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
decision_rule,Record an approval only after the reviewer can reproduce the conclusion from the retained facts without network access.,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This vendor risk supplier attestation evidence metrics record was assessed using retention basis and follow-up condition; the reviewer accepted the retained basis.
