field	review_value	review_period	review_period_context
evidence_question	What decision can be made from the retained source material without external access?	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
source_fact	system steward retained review register for p03-src-006683	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
relationship	AC-27 relates to evidence set 184	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
risk_reference	RISK-031	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
evidence_instrument	exception ageing report	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
review_observation	the conclusion matched the scope of the stated control	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
challenge_performed	a single reviewer conclusion was checked for independent challenge	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
review_profile	the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
counterexample	A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
decision_rule	Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
disposition	accepted with a retained review note	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
operating_boundary	No Kio capability is used or required for this offline review.	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
review_date	2026-07-20	2026 Q3	Review period: 2026 Q3. This export risk snapshot evidence metrics record was assessed using source chronology and decision traceability; the reviewer confirmed the review conclusion.
