field,review_value,review_period,review_period_context
evidence_question,Which review question exposes a gap between policy language and operating evidence?,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
source_fact,service owner retained contract evidence for p03-src-003878,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
evidence_instrument,retention schedule extract,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_observation,the verification date was visible beside the source fact,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
challenge_performed,an absent relationship was made explicit before acceptance,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology contained a reconciled late entry; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
counterexample,A repeated control statement does not establish operation when no counterexample was considered.,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
decision_rule,Treat the control as effective only when the counterexample has been considered and the exception path is explicit.,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This working notes checksum check evidence metrics record was assessed using exception ageing and escalation criteria; the reviewer set a follow-up assurance trigger.
