field,review_value,review_period,review_period_context,artifact_assigned_review_date,artifact_assigned_review_date_context
evidence_question,Which source fact would cause the reviewer to accept the control conclusion?,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
source_fact,named control owner retained approval boundary for p03-src-003206,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
evidence_instrument,exception decision sheet,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_observation,the retained fact predated the decision by one review cycle,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
challenge_performed,an ambiguous dependency was clarified before disposition,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
counterexample,A dependency reference is not meaningful unless the receiving artifact explains why it was consulted.,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
decision_rule,Use the dependency as context rather than proof; the local artifact must state its own conclusion and basis.,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
review_date,2026-07-13,2026 Q3,Review period: 2026 Q3. This review mail evidence reminder evidence metrics record was assessed using closure evidence and accountable disposition; the reviewer identified a corroboration need.,2026-07-20,Artifact-assigned review date: 2026-07-20. This mail evidence reminder evidence metrics entry confirms that the closure notice was reconciled with the evidence register.
