study_name,study_date,session_id,sample_size,participant_id,response_status,segment,platform,visit_frequency,task_completion,task_confidence_1_5,overall_ease_1_5,findability_1_5,clarity_1_5,trust_1_5,open_text_feedback
Study Alpha,2026-07-13,UX-184,24,S01,Complete,Novice,macOS,First visit,Completed,4,4,3,4,4,"The first menu label made me pause, but I found the study page after checking the sidebar."
Study Alpha,2026-07-13,UX-184,24,S02,Complete,Novice,Windows,First visit,Completed,3,3,3,4,3,"I expected the task link on the overview screen; the wording felt generic."
Study Alpha,2026-07-13,UX-184,24,S03,Complete,Novice,macOS,First visit,Completed,4,4,4,4,4,"The progress cue made the next step obvious."
Study Alpha,2026-07-13,UX-184,24,S04,Complete,Novice,Windows,First visit,Not completed,2,2,2,3,3,"I could not tell which option would save my response, so I quit."
Study Alpha,2026-07-13,UX-184,24,S05,Complete,Novice,macOS,First visit,Completed,3,3,2,3,3,"Filters were helpful once I noticed them; their icon did not explain the purpose."
Study Alpha,2026-07-13,UX-184,24,S06,Complete,Novice,iPadOS,First visit,Completed,4,4,3,4,4,"The short instructions matched what I saw on screen."
Study Alpha,2026-07-13,UX-184,24,S07,Complete,Novice,Windows,First visit,Completed,3,3,3,3,3,"I looked for the task under Research instead of Projects."
Study Alpha,2026-07-13,UX-184,24,S08,Complete,Novice,macOS,First visit,Completed,4,4,4,4,,"The confirmation message was clear and made the completion feel final."
Study Alpha,2026-07-13,UX-184,24,S09,Complete,Occasional,macOS,Monthly,Completed,4,4,4,4,4,"A compact summary at the top would help me orient faster."
Study Alpha,2026-07-13,UX-184,24,S10,Complete,Occasional,Windows,Monthly,Completed,5,5,4,5,4,"Everything stayed where I expected, including the return path."
Study Alpha,2026-07-13,UX-184,24,S11,Complete,Occasional,macOS,Monthly,Completed,4,4,3,4,4,"I hesitated at the export choice because the descriptions sounded similar."
Study Alpha,2026-07-13,UX-184,24,S12,Complete,Occasional,iPadOS,Monthly,Completed,3,3,3,4,3,"The task worked, but the page had more helper text than I needed."
Study Alpha,2026-07-13,UX-184,24,S13,Complete,Occasional,macOS,Monthly,Completed,4,4,4,4,4,"The labels were familiar from my previous visits."
Study Alpha,2026-07-13,UX-184,24,S14,Complete,Occasional,Windows,Monthly,Completed,5,4,5,5,5,"The visual hierarchy let me scan and move on quickly."
Study Alpha,2026-07-13,UX-184,24,S15,Complete,Occasional,macOS,Monthly,Completed,4,4,4,4,4,"I wanted a reminder of the last action when I came back."
Study Alpha,2026-07-13,UX-184,24,S16,Complete,Occasional,Windows,Monthly,Not completed,2,2,2,3,3,"The warning appeared late, after I had already entered details."
Study Alpha,2026-07-13,UX-184,24,S17,Complete,Frequent,macOS,Weekly or more,Completed,5,5,5,5,5,"Keyboard focus and status messages were easy to follow."
Study Alpha,2026-07-13,UX-184,24,S18,Complete,Frequent,Windows,Weekly or more,Completed,4,4,4,5,4,"A quicker way to repeat the last export would save time."
Study Alpha,2026-07-13,UX-184,24,S19,Complete,Frequent,macOS,Weekly or more,Completed,5,5,5,4,5,"The workflow was predictable across each step."
Study Alpha,2026-07-13,UX-184,24,S20,Complete,Frequent,iPadOS,Weekly or more,Completed,4,4,4,4,4,"The page title and selected state kept me oriented."
Study Alpha,2026-07-13,UX-184,24,S21,Complete,Frequent,macOS,Weekly or more,Completed,5,5,4,5,5,"The labels, confirmation, and navigation all felt consistent."
Study Alpha,2026-07-13,UX-184,24,S22,Complete,Frequent,Windows,Weekly or more,Completed,4,4,5,4,4,"I found the setting quickly, though I would pin it for regular use."
Study Alpha,2026-07-13,UX-184,24,S23,Complete,Frequent,macOS,Weekly or more,Completed,3,3,4,4,4,"The option was easy enough, but I checked twice before submitting."
Study Alpha,2026-07-13,UX-184,24,S24,Complete,Frequent,Windows,Weekly or more,Completed,5,5,5,5,5,"The task took less attention than I expected."
