field,review_value,review_period,review_period_context
evidence_question,What observable evidence demonstrates that the stated control objective is met?,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
source_fact,detection owner retained coverage record for p03-src-007278,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
evidence_instrument,signed ownership matrix,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_observation,the approval boundary matched the operating record,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
challenge_performed,an absent relationship was made explicit before acceptance,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was considered and recorded; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
counterexample,A dated narrative without a named custodian is insufficient because responsibility cannot be tested.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
decision_rule,Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
disposition,escalated for corroboration with the decision basis retained,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This audit request reviewer note evidence metrics record was assessed using access attestation and compensating action; the reviewer accepted the retained basis.
