"field"	"review_value"
"evidence_question"	"How should a conflicting source be handled before the disposition is recorded?"
"source_fact"	"change sponsor retained implementation record for p03-src-002719"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"control-to-evidence map"
"review_observation"	"the owner and custodian were named consistently"
"challenge_performed"	"a scope boundary was compared with the evidence collection boundary"
"review_profile"	"the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology contained a reconciled late entry; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is the scheduled review; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dependency reference is not meaningful unless the receiving artifact explains why it was consulted."
"decision_rule"	"Accept only when the source fact, accountable role, and review conclusion agree; otherwise record a follow-up disposition."
"disposition"	"accepted with a retained review note"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-20"
