"field"	"review_value"
"evidence_question"	"Which review question exposes a gap between policy language and operating evidence?"
"source_fact"	"change sponsor retained implementation record for p03-src-009249"
"relationship"	"AC-27 relates to evidence set 184"
"risk_reference"	"RISK-031"
"evidence_instrument"	"incident chronology"
"review_observation"	"the evidence owner confirmed the record's completeness"
"challenge_performed"	"a missing custodian was treated as a review failure"
"review_profile"	"the evidence set was collected during the follow-up review; the accountable owner confirmed the operating boundary; the reviewer sampled a routine operating condition; the source fact supported acceptance without qualification; the comparison used the prior review conclusion; the evidence was retained with the decision record; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is the scheduled review; the disposition was communicated to the independent reviewer; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample"	"A dated narrative without a named custodian is insufficient because responsibility cannot be tested."
"decision_rule"	"Escalate conflicting observations to the designated reviewer rather than resolving them through filename or identifier changes."
"disposition"	"escalated for corroboration with the decision basis retained"
"operating_boundary"	"No Kio capability is used or required for this offline review."
"review_date"	"2026-07-14"
