field,review_value,review_period,review_period_context
evidence_question,Which review question exposes a gap between policy language and operating evidence?,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
source_fact,risk owner retained decision record for p03-src-006366,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
relationship,AC-27 relates to evidence set 184,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
risk_reference,RISK-031,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
evidence_instrument,contract obligation extract,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
review_observation,the owner and custodian were named consistently,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
challenge_performed,an exception rationale was tested for a documented decision rule,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
review_profile,the evidence set was collected before the approval meeting; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was considered and recorded; the reviewer assessed a handover impact; the decision was suitable for routine monitoring; the source chronology was complete; the control claim was independently corroborated; the review boundary identified unavailable material as a limitation; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
counterexample,A single approval cannot settle a conflicting record; the discrepancy must remain visible to the reviewer.,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
decision_rule,"Preserve a bounded decision: cite the source, explain the rule, and state whether the result is accepted or escalated.",2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
disposition,accepted with a retained review note,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
operating_boundary,No Kio capability is used or required for this offline review.,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
review_date,2026-07-20,2026 Q3,Review period: 2026 Q3. This intake evidence package evidence metrics record was assessed using risk treatment and residual uncertainty; the reviewer set a follow-up assurance trigger.
