"field","review_value"
"evidence_question","How should a conflicting source be handled before the disposition is recorded?"
"source_fact","risk owner retained decision record for p03-src-005407"
"relationship","AC-27 relates to evidence set 184"
"risk_reference","RISK-031"
"evidence_instrument","approval trail summary"
"review_observation","the evidence sequence exposed a material dependency"
"challenge_performed","a missing custodian was treated as a review failure"
"review_profile","the evidence set was collected during the follow-up review; the evidence custodian confirmed the record boundary; the reviewer sampled an adverse operating condition; the source fact supported acceptance with a documented caveat; the comparison used the current control objective; the evidence was retained in the review register; the exception path was not invoked; the reviewer found no handover impact; the decision was suitable for targeted follow-up; the source chronology was complete; the control claim was corroborated by a compensating observation; the review boundary excluded unavailable material; the next assurance trigger is completion of the follow-up action; the disposition was communicated to the owner; the retained rationale supports repeat review; the record remains a local offline assurance artifact"
"counterexample","A status label alone is not evidence; it must be tied to a source fact and a reviewer conclusion."
"decision_rule","Reject unsupported claims and retain a concise explanation of the missing fact for the next review cycle."
"disposition","escalated for corroboration with the decision basis retained"
"operating_boundary","No Kio capability is used or required for this offline review."
"review_date","2026-07-15"
